Player_name,ID
Sachin Tendulkar,35320
Sourav Ganguly,28779
Shane Watson,8180
Wasim Akram,870007
jasprit Bumrah,625383
Lasith malinga,49758
Martin Guptill,226492
Ajantha Mendis,268739
Ricky Ponting,7133
Eoin Morgan ,24598
Andre Flintoff,12856
